"","unique(lncrna_genes$gene_id)"
"994","ENSG00000233540"
"995","ENSG00000230630"
"996","ENSG00000287336"
"997","ENSG00000279061"
"998","ENSG00000224228"
"999","ENSG00000224000"
"1000","ENSG00000226375"
"1001","ENSG00000203739"
"1002","ENSG00000238272"
"1003","ENSG00000234741"
"1004","ENSG00000270084"
"1005","ENSG00000236535"
"1006","ENSG00000224977"
"1007","ENSG00000227373"
"1008","ENSG00000223525"
"1009","ENSG00000229531"
"1010","ENSG00000287697"
"1011","ENSG00000230687"
"1012","ENSG00000260990"
"1013","ENSG00000235628"
"1014","ENSG00000224718"
"1015","ENSG00000227740"
"1016","ENSG00000228686"
"1017","ENSG00000236021"
"1018","ENSG00000286754"
"1019","ENSG00000224968"
"1020","ENSG00000227579"
"1021","ENSG00000236720"
"1022","ENSG00000254154"
"1023","ENSG00000224687"
"1024","ENSG00000285910"
"1025","ENSG00000213057"
"1026","ENSG00000273384"
"1027","ENSG00000273062"
"1028","ENSG00000261250"
"1029","ENSG00000261060"
"1030","ENSG00000243062"
"1031","ENSG00000229407"
"1032","ENSG00000231966"
"1033","ENSG00000272906"
"1034","ENSG00000261831"
"1035","ENSG00000260360"
"1036","ENSG00000261817"
"1037","ENSG00000236719"
"1038","ENSG00000225857"
"1039","ENSG00000243155"
"1040","ENSG00000232586"
"1041","ENSG00000237292"
"1042","ENSG00000225359"
"1043","ENSG00000179452"
"1044","ENSG00000287452"
"1045","ENSG00000272880"
"1046","ENSG00000224810"
"1047","ENSG00000225982"
"1048","ENSG00000228918"
"1049","ENSG00000232309"
"1050","ENSG00000203729"
"1051","ENSG00000261504"
"1052","ENSG00000227181"
"1053","ENSG00000287808"
"1054","ENSG00000224468"
"1055","ENSG00000287929"
"1056","ENSG00000286372"
"1057","ENSG00000232860"
"1058","ENSG00000286966"
"1059","ENSG00000227554"
"1060","ENSG00000286655"
"1061","ENSG00000231791"
"1062","ENSG00000271387"
"1063","ENSG00000230470"
"1064","ENSG00000285847"
"1065","ENSG00000286378"
